ID,Gender_Code,Region,Income,Spending
1071,Female,Urban,32,9
1072,Male,Rural,12,6
1073,Male,Urban,27,15
1074,Female,Rural,10,14
1075,Male,Rural,19,19
1076,Female,Urban,49,8
1077,Male,Rural,24,20
1078,Male,Urban,44,7
1079,Male,Urban,40,7
1080,Female,Rural,10,6
1081,Male,Urban,30,16
1082,Male,Urban,33,14
1083,Female,Urban,38,9
1084,Female,Urban,39,10
1085,Male,Rural,16,9
1086,Female,Urban,25,8
1087,Female,Urban,29,7
1088,Female,Rural,23,10
1089,Male,Urban,44,18
1090,Male,Rural,25,9
1091,,Rural,9,11
1092,Female,Rural,19,8
1093,Female,Rural,16,20
1094,Female,,47,16
1095,Male,Rural,22,15
1096,Female,Rural,17,17
1097,Female,Urban,40,17
1098,Female,Urban,,11
1099,Male,Urban,48,7
1100,Female,Rural,15,8
1101,Male,Rural,10,19
1102,Female,Rural,5,17
1103,Female,Urban,30,
1104,Female,Rural,12,10
1105,Male,Rural,24,8
1106,Male,Urban,48,8
1107,Male,Urban,40,12
1108,Male,Rural,5,7
1109,Female,Urban,33,16
1110,Male,Urban,48,7
1111,Male,Urban,31,16
1112,Male,Urban,50,14
1113,Male,Urban,26,11
